,,,,,,,,,
,,,,,,,,,
Well /set,Dye,Content,Description,Efficiency,C(t),ng,T_R,Treatment,Region
E7,TMR,Sample,R5bis GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
E8,FAM,Sample,R5bis GP,46.64%,28.44,0.5921,GP_Cocaine,Cocaine,GP
E8,TMR,Sample,R5bis GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
E9,FAM,Sample,R5bis GP,50.45%,28.31,0.6481,GP_Cocaine,Cocaine,GP
E9,TMR,Sample,R5bis GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
E10,FAM,Sample,R5bis SN,44.07%,30.27,0.1728,SN_Cocaine,Cocaine,SN
E10,TMR,Sample,R5bis SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
E11,FAM,Sample,R5bis SN,48.09%,32.01,0.05339,SN_Cocaine,Cocaine,SN
E11,TMR,Sample,R5bis SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
E12,FAM,Sample,R5bis SN,58.59%,30.56,0.1418,SN_Cocaine,Cocaine,SN
E12,TMR,Sample,R5bis SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
F1,FAM,Sample,R6bisNST,57.28%,29.84,0.2299,NST_Cocaine,Cocaine,NST
F1,TMR,Sample,R6bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
F2,FAM,Sample,R6bisNST,52.86%,29.88,0.2245,NST_Cocaine,Cocaine,NST
F2,TMR,Sample,R6bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
F3,FAM,Sample,R6bisNST,46.29%,29.06,0.3907,NST_Cocaine,Cocaine,NST
F3,TMR,Sample,R6bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
F4,FAM,Sample,R6bisGP,41.31%,26.07,2.936,GP_Cocaine,Cocaine,GP
F4,TMR,Sample,R6bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
F5,FAM,Sample,R6bisGP,53.37%,26.98,1.588,GP_Cocaine,Cocaine,GP
F5,TMR,Sample,R6bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
F6,FAM,Sample,R6bisGP,44.54%,25.96,3.179,GP_Cocaine,Cocaine,GP
F6,TMR,Sample,R6bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
F7,FAM,Sample,R6bisSN,53.13%,27.26,1.314,SN_Cocaine,Cocaine,SN
F7,TMR,Sample,R6bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
F8,FAM,Sample,R6bisSN,60.97%,27.84,0.8894,SN_Cocaine,Cocaine,SN
F8,TMR,Sample,R6bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
F9,FAM,Sample,R6bisSN,52.78%,26.88,1.707,SN_Cocaine,Cocaine,SN
F9,TMR,Sample,R6bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
F10,FAM,Sample,R8bisNST,12.68%,26.45,2.282,NST_Cocaine,Cocaine,NST
F10,TMR,Sample,R8bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
F11,FAM,Sample,R8bisNST,49.85%,28.6,0.5322,NST_Cocaine,Cocaine,NST
F11,TMR,Sample,R8bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
F12,FAM,Sample,R8bisNST,61.86%,28.86,0.4468,NST_Cocaine,Cocaine,NST
F12,TMR,Sample,R8bisNST,N/A,N/A,,NST_Cocaine,Cocaine,NST
G1,TMR,Sample,R8bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
G1,FAM,Sample,R8bisGP,54.23%,28.1,0.7486,GP_Cocaine,Cocaine,GP
G2,TMR,Sample,R8bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
G2,FAM,Sample,R8bisGP,53.24%,28.95,0.4201,GP_Cocaine,Cocaine,GP
G3,FAM,Sample,R8bisGP,49.84%,28.1,0.7473,GP_Cocaine,Cocaine,GP
G3,TMR,Sample,R8bisGP,N/A,N/A,,GP_Cocaine,Cocaine,GP
G4,FAM,Sample,R8bisSN,60.64%,28.91,0.4329,SN_Cocaine,Cocaine,SN
G4,TMR,Sample,R8bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
G5,TMR,Sample,R8bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
G5,FAM,Sample,R8bisSN,49.35%,28.53,0.5584,SN_Cocaine,Cocaine,SN
G6,TMR,Sample,R8bisSN,N/A,N/A,,SN_Cocaine,Cocaine,SN
G6,FAM,Sample,R8bisSN,58.63%,28.75,0.4802,SN_Cocaine,Cocaine,SN
G7,TMR,Sample,V2NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
G7,FAM,Sample,V2NST,59.77%,29.44,0.3011,NST_Cocaine,Cocaine,NST
G8,TMR,Sample,V2NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
G8,FAM,Sample,V2NST,52.15%,28.46,0.5855,NST_Cocaine,Cocaine,NST
G9,TMR,Sample,V2NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
G9,FAM,Sample,V2NST,44.88%,29.27,0.3382,NST_Cocaine,Cocaine,NST
G10,TMR,Sample,V2GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
G10,FAM,Sample,V2GP,61.19%,27.2,1.374,GP_Cocaine,Cocaine,GP
G11,FAM,Sample,V2GP,61.07%,26.68,1.942,GP_Cocaine,Cocaine,GP
G11,TMR,Sample,V2GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
G12,FAM,Sample,V2GP,61.99%,26.93,1.649,GP_Cocaine,Cocaine,GP
G12,TMR,Sample,V2GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
H1,FAM,Sample,V2SN,48.33%,28.97,0.4159,SN_Cocaine,Cocaine,SN
H1,TMR,Sample,V2SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
H2,FAM,Sample,V2SN,69.75%,28.69,0.5014,SN_Cocaine,Cocaine,SN
H2,TMR,Sample,V2SN,0.72%,21.01,,SN_Cocaine,Cocaine,SN
H3,FAM,Sample,V2SN,47.47%,28.54,0.554,SN_Cocaine,Cocaine,SN
H3,TMR,Sample,V2SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
H4,FAM,Sample,V8NST,45.72%,29.43,0.3034,NST_Cocaine,Cocaine,NST
H4,TMR,Sample,V8NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
H5,FAM,Sample,V8NST,52.99%,30.73,0.1267,NST_Cocaine,Cocaine,NST
H5,TMR,Sample,V8NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
H6,FAM,Sample,V8NST,8.00%,18.08,647.9,NST_Cocaine,Cocaine,NST
H6,TMR,Sample,V8NST,N/A,N/A,,NST_Cocaine,Cocaine,NST
H7,FAM,Sample,V8GP,49.62%,28.05,0.774,GP_Cocaine,Cocaine,GP
H7,TMR,Sample,V8GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
H8,FAM,Sample,V8GP,110.72%,2.81,19600000,GP_Cocaine,Cocaine,GP
H8,TMR,Sample,V8GP,7.58%,6.97,,GP_Cocaine,Cocaine,GP
H9,FAM,Sample,V8GP,57.41%,27.95,0.8275,GP_Cocaine,Cocaine,GP
H9,TMR,Sample,V8GP,N/A,N/A,,GP_Cocaine,Cocaine,GP
H10,FAM,Sample,V8SN,57.30%,28.17,0.7145,SN_Cocaine,Cocaine,SN
H10,TMR,Sample,V8SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
H11,FAM,Sample,V8SN,52.97%,29.11,0.3776,SN_Cocaine,Cocaine,SN
H11,TMR,Sample,V8SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
H12,FAM,Sample,V8SN,48.22%,28.14,0.7258,SN_Cocaine,Cocaine,SN
H12,TMR,Sample,V8SN,N/A,N/A,,SN_Cocaine,Cocaine,SN
