,,,,,,,,,,
,,,,,,,,,,
Well,Well Position,Reporter,Task,Target Name,Sample Name,Efficiency,CT,Quantity,Treatment,Region
,D7,FAM,Sample,B2M,V4 NST,45.89%,27.59,1.079,Saline,NST
,D7,TMR,Sample,B2M,V4 NST,N/A,N/A,,Saline,NST
,D8,FAM,Sample,B2M,V4 NST,33.94%,27.59,1.079,Saline,NST
,D8,TMR,Sample,B2M,V4 NST,N/A,N/A,,Saline,NST
,D9,FAM,Sample,B2M,V4 NST,37.51%,26.5,2.374,Saline,NST
,D9,TMR,Sample,B2M,V4 NST,N/A,N/A,,Saline,NST
,D10,FAM,Sample,B2M,V4 GP,57.90%,27.51,1.146,Saline,GP
,D10,TMR,Sample,B2M,V4 GP,N/A,N/A,,Saline,GP
,D11,FAM,Sample,B2M,V4 GP,34.84%,26.74,1.989,Saline,GP
,D11,TMR,Sample,B2M,V4 GP,N/A,N/A,,Saline,GP
,D12,FAM,Sample,B2M,V4 GP,57.55%,26.81,1.891,Saline,GP
,D12,TMR,Sample,B2M,V4 GP,N/A,N/A,,Saline,GP
,E1,FAM,Sample,B2M,V4 SN,58.32%,27.62,1.052,Saline,SN
,E1,TMR,Sample,B2M,V4 SN,N/A,N/A,,Saline,SN
,E2,FAM,Sample,B2M,V4 SN,55.35%,28.36,0.6209,Saline,SN
,E2,TMR,Sample,B2M,V4 SN,N/A,N/A,,Saline,SN
,E3,FAM,Sample,B2M,V4 SN,54.05%,28.12,0.7377,Saline,SN
,E3,TMR,Sample,B2M,V4 SN,N/A,N/A,,Saline,SN
,E4,FAM,Sample,B2M,R5bis NST,45.48%,28.76,0.4631,Cocaine,NST
,E4,TMR,Sample,B2M,R5bis NST,N/A,N/A,,Cocaine,NST
,E5,FAM,Sample,B2M,R5bis NST,47.30%,29.24,0.3288,Cocaine,NST
,E5,TMR,Sample,B2M,R5bis NST,N/A,N/A,,Cocaine,NST
,E6,FAM,Sample,B2M,R5bis NST,22.54%,26.52,2.342,Cocaine,NST
,E6,TMR,Sample,B2M,R5bis NST,N/A,N/A,,Cocaine,NST
,E7,FAM,Sample,B2M,R5bis GP,41.58%,27.92,0.8504,Cocaine,GP
,E7,TMR,Sample,B2M,R5bis GP,N/A,N/A,,Cocaine,GP
,E8,FAM,Sample,B2M,R5bis GP,45.71%,27.49,1.157,Cocaine,GP
,E8,TMR,Sample,B2M,R5bis GP,N/A,N/A,,Cocaine,GP
,E9,FAM,Sample,B2M,R5bis GP,43.81%,27.32,1.313,Cocaine,GP
,E9,TMR,Sample,B2M,R5bis GP,N/A,N/A,,Cocaine,GP
,E10,FAM,Sample,B2M,R5bis SN,54.07%,30.68,0.1164,Cocaine,SN
,E10,TMR,Sample,B2M,R5bis SN,N/A,N/A,,Cocaine,SN
,E11,FAM,Sample,B2M,R5bis SN,46.96%,30.38,0.144,Cocaine,SN
,E11,TMR,Sample,B2M,R5bis SN,N/A,N/A,,Cocaine,SN
,E12,FAM,Sample,B2M,R5bis SN,63.96%,30.63,0.1208,Cocaine,SN
,E12,TMR,Sample,B2M,R5bis SN,N/A,N/A,,Cocaine,SN
,F1,FAM,Sample,B2M,R6bisNST,67.62%,27.27,1.355,Cocaine,NST
,F1,TMR,Sample,B2M,R6bisNST,N/A,N/A,,Cocaine,NST
,F2,FAM,Sample,B2M,R6bisNST,52.79%,27.44,1.202,Cocaine,NST
,F2,TMR,Sample,B2M,R6bisNST,N/A,N/A,,Cocaine,NST
,F3,FAM,Sample,B2M,R6bisNST,45.32%,27.2,1.434,Cocaine,NST
,F3,TMR,Sample,B2M,R6bisNST,N/A,N/A,,Cocaine,NST
,F4,FAM,Sample,B2M,R6bisGP,62.61%,25.62,4.473,Cocaine,GP
,F4,TMR,Sample,B2M,R6bisGP,N/A,N/A,,Cocaine,GP
,F5,FAM,Sample,B2M,R6bisGP,8.01%,20.82,142.5,Cocaine,GP
,F5,TMR,Sample,B2M,R6bisGP,N/A,N/A,,Cocaine,GP
,F6,FAM,Sample,B2M,R6bisGP,65.20%,26.76,1.964,Cocaine,GP
,F6,TMR,Sample,B2M,R6bisGP,N/A,N/A,,Cocaine,GP
,F7,FAM,Sample,B2M,R6bisSN,43.20%,27.06,1.577,Cocaine,SN
,F7,TMR,Sample,B2M,R6bisSN,N/A,N/A,,Cocaine,SN
,F8,FAM,Sample,B2M,R6bisSN,58.92%,27.49,1.162,Cocaine,SN
,F8,TMR,Sample,B2M,R6bisSN,N/A,N/A,,Cocaine,SN
,F9,FAM,Sample,B2M,R6bisSN,56.52%,27.48,1.165,Cocaine,SN
,F9,TMR,Sample,B2M,R6bisSN,N/A,N/A,,Cocaine,SN
,F10,FAM,Sample,B2M,R8bisNST,60.81%,27.41,1.229,Cocaine,NST
,F10,TMR,Sample,B2M,R8bisNST,N/A,N/A,,Cocaine,NST
,F11,FAM,Sample,B2M,R8bisNST,57.68%,27.6,1.073,Cocaine,NST
,F11,TMR,Sample,B2M,R8bisNST,N/A,N/A,,Cocaine,NST
,F12,FAM,Sample,B2M,R8bisNST,71.82%,26.59,2.221,Cocaine,NST
,F12,TMR,Sample,B2M,R8bisNST,N/A,N/A,,Cocaine,NST
,G1,TMR,Sample,B2M,R8bisGP,N/A,N/A,,Cocaine,GP
,G1,FAM,Sample,B2M,R8bisGP,69.63%,28.12,0.7365,Cocaine,GP
,G2,TMR,Sample,B2M,R8bisGP,N/A,N/A,,Cocaine,GP
,G2,FAM,Sample,B2M,R8bisGP,59.70%,27.93,0.8456,Cocaine,GP
,G3,FAM,Sample,B2M,R8bisGP,53.48%,28.35,0.6245,Cocaine,GP
,G3,TMR,Sample,B2M,R8bisGP,N/A,N/A,,Cocaine,GP
,G4,FAM,Sample,B2M,R8bisSN,48.08%,27.5,1.154,Cocaine,SN
,G4,TMR,Sample,B2M,R8bisSN,N/A,N/A,,Cocaine,SN
,G5,TMR,Sample,B2M,R8bisSN,N/A,N/A,,Cocaine,SN
,G5,FAM,Sample,B2M,R8bisSN,44.95%,28.46,0.5761,Cocaine,SN
,G6,TMR,Sample,B2M,R8bisSN,N/A,N/A,,Cocaine,SN
,G6,FAM,Sample,B2M,R8bisSN,37.42%,27.59,1.079,Cocaine,SN
,G7,TMR,Sample,B2M,V2NST,N/A,N/A,,Cocaine,NST
,G7,FAM,Sample,B2M,V2NST,40.14%,26.62,2.167,Cocaine,NST
,G8,TMR,Sample,B2M,V2NST,N/A,N/A,,Cocaine,NST
,G8,FAM,Sample,B2M,V2NST,58.97%,27.73,0.9736,Cocaine,NST
,G9,TMR,Sample,B2M,V2NST,N/A,N/A,,Cocaine,NST
,G9,FAM,Sample,B2M,V2NST,42.46%,26.97,1.686,Cocaine,NST
,G10,TMR,Sample,B2M,V2GP,1.57%,11.23,,Cocaine,GP
,G10,FAM,Sample,B2M,V2GP,54.99%,25.84,3.813,Cocaine,GP
,G11,FAM,Sample,B2M,V2GP,70.27%,26.95,1.713,Cocaine,GP
,G11,TMR,Sample,B2M,V2GP,N/A,N/A,,Cocaine,GP
,G12,FAM,Sample,B2M,V2GP,72.30%,26.63,2.164,Cocaine,GP
,G12,TMR,Sample,B2M,V2GP,N/A,N/A,,Cocaine,GP
,H1,FAM,Sample,B2M,V2SN,24.62%,26.51,2.352,Cocaine,SN
,H1,TMR,Sample,B2M,V2SN,4.42%,1.81,,Cocaine,SN
,H2,FAM,Sample,B2M,V2SN,55.31%,28.43,0.5905,Cocaine,SN
,H2,TMR,Sample,B2M,V2SN,N/A,N/A,,Cocaine,SN
,H3,FAM,Sample,B2M,V2SN,56.70%,29.07,0.3715,Cocaine,SN
,H3,TMR,Sample,B2M,V2SN,N/A,N/A,,Cocaine,SN
,H4,FAM,Sample,B2M,V8NST,56.34%,27.65,1.035,Cocaine,NST
,H4,TMR,Sample,B2M,V8NST,N/A,N/A,,Cocaine,NST
,H5,FAM,Sample,B2M,V8NST,53.18%,28.92,0.4132,Cocaine,NST
,H5,TMR,Sample,B2M,V8NST,N/A,N/A,,Cocaine,NST
,H6,FAM,Sample,B2M,V8NST,44.88%,27.3,1.331,Cocaine,NST
,H6,TMR,Sample,B2M,V8NST,N/A,N/A,,Cocaine,NST
,H7,FAM,Sample,B2M,V8GP,51.48%,28.18,0.703,Cocaine,GP
,H7,TMR,Sample,B2M,V8GP,N/A,N/A,,Cocaine,GP
,H8,FAM,Sample,B2M,V8GP,119.20%,2.51,77300000,Cocaine,GP
,H8,TMR,Sample,B2M,V8GP,7.39%,11.09,,Cocaine,GP
,H9,FAM,Sample,B2M,V8GP,55.66%,27.72,0.9852,Cocaine,GP
,H9,TMR,Sample,B2M,V8GP,N/A,N/A,,Cocaine,GP
,H10,FAM,Sample,B2M,V8SN,75.76%,29.08,0.369,Cocaine,SN
,H10,TMR,Sample,B2M,V8SN,0.87%,1.32,,Cocaine,SN
,H11,FAM,Sample,B2M,V8SN,50.90%,29.57,0.2578,Cocaine,SN
,H11,TMR,Sample,B2M,V8SN,N/A,N/A,,Cocaine,SN
,H12,FAM,Sample,B2M,V8SN,60.48%,28.33,0.6306,Cocaine,SN
,H12,TMR,Sample,B2M,V8SN,N/A,N/A,,Cocaine,SN
