,,,,,,,,,,
,,,,,,,,,,
Well,Well Position,Reporter,Task,Target Name,Sample Name,Efficiency,CT,Quantity,Treatment,Region
,E4,FAM,Sample,NLGN1,R5bis NST,46.08%,30.13,0.1892,Cocaine,NST
,E4,TMR,Sample,NLGN1,R5bis NST,N/A,N/A,,Cocaine,NST
,E5,FAM,Sample,NLGN1,R5bis NST,41.54%,30.27,0.1727,Cocaine,NST
,E5,TMR,Sample,NLGN1,R5bis NST,N/A,N/A,,Cocaine,NST
,E6,FAM,Sample,NLGN1,R5bis NST,50.65%,30.72,0.127,Cocaine,NST
,E6,TMR,Sample,NLGN1,R5bis NST,N/A,N/A,,Cocaine,NST
,E7,FAM,Sample,NLGN1,R5bis GP,49.20%,28.97,0.416,Cocaine,GP
,E7,TMR,Sample,NLGN1,R5bis GP,N/A,N/A,,Cocaine,GP
,E8,FAM,Sample,NLGN1,R5bis GP,46.64%,28.44,0.5921,Cocaine,GP
,E8,TMR,Sample,NLGN1,R5bis GP,N/A,N/A,,Cocaine,GP
,E9,FAM,Sample,NLGN1,R5bis GP,50.45%,28.31,0.6481,Cocaine,GP
,E9,TMR,Sample,NLGN1,R5bis GP,N/A,N/A,,Cocaine,GP
,E10,FAM,Sample,NLGN1,R5bis SN,44.07%,30.27,0.1728,Cocaine,SN
,E10,TMR,Sample,NLGN1,R5bis SN,N/A,N/A,,Cocaine,SN
,E11,FAM,Sample,NLGN1,R5bis SN,48.09%,32.01,0.05339,Cocaine,SN
,E11,TMR,Sample,NLGN1,R5bis SN,N/A,N/A,,Cocaine,SN
,E12,FAM,Sample,NLGN1,R5bis SN,58.59%,30.56,0.1418,Cocaine,SN
,E12,TMR,Sample,NLGN1,R5bis SN,N/A,N/A,,Cocaine,SN
,F1,FAM,Sample,NLGN1,R6bisNST,57.28%,29.84,0.2299,Cocaine,NST
,F1,TMR,Sample,NLGN1,R6bisNST,N/A,N/A,,Cocaine,NST
,F2,FAM,Sample,NLGN1,R6bisNST,52.86%,29.88,0.2245,Cocaine,NST
,F2,TMR,Sample,NLGN1,R6bisNST,N/A,N/A,,Cocaine,NST
,F3,FAM,Sample,NLGN1,R6bisNST,46.29%,29.06,0.3907,Cocaine,NST
,F3,TMR,Sample,NLGN1,R6bisNST,N/A,N/A,,Cocaine,NST
,F4,FAM,Sample,NLGN1,R6bisGP,41.31%,26.07,2.936,Cocaine,GP
,F4,TMR,Sample,NLGN1,R6bisGP,N/A,N/A,,Cocaine,GP
,F5,FAM,Sample,NLGN1,R6bisGP,53.37%,26.98,1.588,Cocaine,GP
,F5,TMR,Sample,NLGN1,R6bisGP,N/A,N/A,,Cocaine,GP
,F6,FAM,Sample,NLGN1,R6bisGP,44.54%,25.96,3.179,Cocaine,GP
,F6,TMR,Sample,NLGN1,R6bisGP,N/A,N/A,,Cocaine,GP
,F7,FAM,Sample,NLGN1,R6bisSN,53.13%,27.26,1.314,Cocaine,SN
,F7,TMR,Sample,NLGN1,R6bisSN,N/A,N/A,,Cocaine,SN
,F8,FAM,Sample,NLGN1,R6bisSN,60.97%,27.84,0.8894,Cocaine,SN
,F8,TMR,Sample,NLGN1,R6bisSN,N/A,N/A,,Cocaine,SN
,F9,FAM,Sample,NLGN1,R6bisSN,52.78%,26.88,1.707,Cocaine,SN
,F9,TMR,Sample,NLGN1,R6bisSN,N/A,N/A,,Cocaine,SN
,F10,FAM,Sample,NLGN1,R8bisNST,12.68%,26.45,2.282,Cocaine,NST
,F10,TMR,Sample,NLGN1,R8bisNST,N/A,N/A,,Cocaine,NST
,F11,FAM,Sample,NLGN1,R8bisNST,49.85%,28.6,0.5322,Cocaine,NST
,F11,TMR,Sample,NLGN1,R8bisNST,N/A,N/A,,Cocaine,NST
,F12,FAM,Sample,NLGN1,R8bisNST,61.86%,28.86,0.4468,Cocaine,NST
,F12,TMR,Sample,NLGN1,R8bisNST,N/A,N/A,,Cocaine,NST
,G1,TMR,Sample,NLGN1,R8bisGP,N/A,N/A,,Cocaine,GP
,G1,FAM,Sample,NLGN1,R8bisGP,54.23%,28.1,0.7486,Cocaine,GP
,G2,TMR,Sample,NLGN1,R8bisGP,N/A,N/A,,Cocaine,GP
,G2,FAM,Sample,NLGN1,R8bisGP,53.24%,28.95,0.4201,Cocaine,GP
,G3,FAM,Sample,NLGN1,R8bisGP,49.84%,28.1,0.7473,Cocaine,GP
,G3,TMR,Sample,NLGN1,R8bisGP,N/A,N/A,,Cocaine,GP
,G4,FAM,Sample,NLGN1,R8bisSN,60.64%,28.91,0.4329,Cocaine,SN
,G4,TMR,Sample,NLGN1,R8bisSN,N/A,N/A,,Cocaine,SN
,G5,TMR,Sample,NLGN1,R8bisSN,N/A,N/A,,Cocaine,SN
,G5,FAM,Sample,NLGN1,R8bisSN,49.35%,28.53,0.5584,Cocaine,SN
,G6,TMR,Sample,NLGN1,R8bisSN,N/A,N/A,,Cocaine,SN
,G6,FAM,Sample,NLGN1,R8bisSN,58.63%,28.75,0.4802,Cocaine,SN
,G7,TMR,Sample,NLGN1,V2NST,N/A,N/A,,Cocaine,NST
,G7,FAM,Sample,NLGN1,V2NST,59.77%,29.44,0.3011,Cocaine,NST
,G8,TMR,Sample,NLGN1,V2NST,N/A,N/A,,Cocaine,NST
,G8,FAM,Sample,NLGN1,V2NST,52.15%,28.46,0.5855,Cocaine,NST
,G9,TMR,Sample,NLGN1,V2NST,N/A,N/A,,Cocaine,NST
,G9,FAM,Sample,NLGN1,V2NST,44.88%,29.27,0.3382,Cocaine,NST
,G10,TMR,Sample,NLGN1,V2GP,N/A,N/A,,Cocaine,GP
,G10,FAM,Sample,NLGN1,V2GP,61.19%,27.2,1.374,Cocaine,GP
,G11,FAM,Sample,NLGN1,V2GP,61.07%,26.68,1.942,Cocaine,GP
,G11,TMR,Sample,NLGN1,V2GP,N/A,N/A,,Cocaine,GP
,G12,FAM,Sample,NLGN1,V2GP,61.99%,26.93,1.649,Cocaine,GP
,G12,TMR,Sample,NLGN1,V2GP,N/A,N/A,,Cocaine,GP
,H1,FAM,Sample,NLGN1,V2SN,48.33%,28.97,0.4159,Cocaine,SN
,H1,TMR,Sample,NLGN1,V2SN,N/A,N/A,,Cocaine,SN
,H2,FAM,Sample,NLGN1,V2SN,69.75%,28.69,0.5014,Cocaine,SN
,H2,TMR,Sample,NLGN1,V2SN,0.72%,21.01,,Cocaine,SN
,H3,FAM,Sample,NLGN1,V2SN,47.47%,28.54,0.554,Cocaine,SN
,H3,TMR,Sample,NLGN1,V2SN,N/A,N/A,,Cocaine,SN
,H4,FAM,Sample,NLGN1,V8NST,45.72%,29.43,0.3034,Cocaine,NST
,H4,TMR,Sample,NLGN1,V8NST,N/A,N/A,,Cocaine,NST
,H5,FAM,Sample,NLGN1,V8NST,52.99%,30.73,0.1267,Cocaine,NST
,H5,TMR,Sample,NLGN1,V8NST,N/A,N/A,,Cocaine,NST
,H6,FAM,Sample,NLGN1,V8NST,8.00%,18.08,647.9,Cocaine,NST
,H6,TMR,Sample,NLGN1,V8NST,N/A,N/A,,Cocaine,NST
,H7,FAM,Sample,NLGN1,V8GP,49.62%,28.05,0.774,Cocaine,GP
,H7,TMR,Sample,NLGN1,V8GP,N/A,N/A,,Cocaine,GP
,H8,FAM,Sample,NLGN1,V8GP,110.72%,2.81,19600000,Cocaine,GP
,H8,TMR,Sample,NLGN1,V8GP,7.58%,6.97,,Cocaine,GP
,H9,FAM,Sample,NLGN1,V8GP,57.41%,27.95,0.8275,Cocaine,GP
,H9,TMR,Sample,NLGN1,V8GP,N/A,N/A,,Cocaine,GP
,H10,FAM,Sample,NLGN1,V8SN,57.30%,28.17,0.7145,Cocaine,SN
,H10,TMR,Sample,NLGN1,V8SN,N/A,N/A,,Cocaine,SN
,H11,FAM,Sample,NLGN1,V8SN,52.97%,29.11,0.3776,Cocaine,SN
,H11,TMR,Sample,NLGN1,V8SN,N/A,N/A,,Cocaine,SN
,H12,FAM,Sample,NLGN1,V8SN,48.22%,28.14,0.7258,Cocaine,SN
,H12,TMR,Sample,NLGN1,V8SN,N/A,N/A,,Cocaine,SN
