156,G12,0,A 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.909,23.706,0.248,18.150,20.853,3.426,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.899,N,N,N,N,N,N
157,G13,0,A 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,38.115,36.354,1.530,0.016,0.066,0.044,31.845,0.978,-3.483,93.709,1,0.155,1,3,33,Inconclusive,,0.714,Y,N,Y,N,N,N
158,G14,0,A 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,35.363,36.354,1.530,0.098,0.066,0.044,31.845,0.978,-3.483,93.709,1,0.155,1,3,30,Amp,,0.909,N,N,Y,N,N,N
159,G15,0,A 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,35.583,36.354,1.530,0.084,0.066,0.044,31.845,0.978,-3.483,93.709,1,0.155,1,3,29,Amp,,0.949,N,N,Y,N,N,N
160,G16,0,A 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,28.700,28.808,0.102,8.004,7.462,0.508,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.957,N,N,N,N,N,N
161,G17,0,A 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,28.822,28.808,0.102,7.383,7.462,0.508,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.969,N,N,N,N,N,N
162,G18,0,A 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,28.903,28.808,0.102,6.999,7.462,0.508,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.963,N,N,N,N,N,N
163,G19,0,A 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.328,25.556,0.231,74.385,64.455,9.785,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.964,N,N,N,N,N,N
164,G20,0,A 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.552,25.556,0.231,64.158,64.455,9.785,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.969,N,N,N,N,N,N
165,G21,0,A 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.789,25.556,0.231,54.822,64.455,9.785,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.958,N,N,N,N,N,N
166,G22,0,A 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.239,26.299,0.065,40.738,39.161,1.678,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.963,N,N,N,N,N,N
167,G23,0,A 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.291,26.299,0.065,39.348,39.161,1.678,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.980,N,N,N,N,N,N
168,G24,0,A 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.368,26.299,0.065,37.396,39.161,1.678,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.979,N,N,N,N,N,N
169,H1,0,,ISL1,STANDARD,FAM,NFQ-MGB,29.258,29.424,0.166,0.781,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.968,N,N,N,N,N,N
170,H2,0,,ISL1,STANDARD,FAM,NFQ-MGB,29.590,29.424,0.166,0.781,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,24,Amp,,0.987,N,N,N,N,N,N
171,H3,0,,ISL1,STANDARD,FAM,NFQ-MGB,29.423,29.424,0.166,0.781,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,24,Amp,,0.976,N,N,N,N,N,N
181,H13,0,,HB9,STANDARD,FAM,NFQ-MGB,33.053,33.128,0.356,0.781,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.938,N,N,N,N,N,N
182,H14,0,,HB9,STANDARD,FAM,NFQ-MGB,32.816,33.128,0.356,0.781,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.926,N,N,N,N,N,N
183,H15,0,,HB9,STANDARD,FAM,NFQ-MGB,33.516,33.128,0.356,0.781,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.938,N,N,N,N,N,N
193,I1,0,B 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,34.938,33.884,0.929,0.015,0.033,0.016,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.845,N,N,Y,N,N,N
194,I2,0,B 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.181,33.884,0.929,0.047,0.033,0.016,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.904,N,N,Y,N,N,N
195,I3,0,B 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.533,33.884,0.929,0.037,0.033,0.016,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.918,N,N,Y,N,N,N
196,I4,0,B 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.606,29.717,0.103,0.465,0.434,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.938,N,N,N,N,N,N
197,I5,0,B 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.809,29.717,0.103,0.408,0.434,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,24,Amp,,0.940,N,N,N,N,N,N
198,I6,0,B 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.735,29.717,0.103,0.428,0.434,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.952,N,N,N,N,N,N
199,I7,0,B 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.734,21.822,0.090,73.527,69.536,4.001,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.822,N,N,N,N,N,N
200,I8,0,B 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.820,21.822,0.090,69.557,69.536,4.001,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.834,N,N,N,N,N,N
201,I9,0,B 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.913,21.822,0.090,65.525,69.536,4.001,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.819,N,N,N,N,N,N
202,I10,0,B 3450 4 WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.923,24.016,0.094,17.983,16.954,1.027,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.897,N,N,N,N,N,N
203,I11,0,B 3450 4 WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.015,24.016,0.094,16.951,16.954,1.027,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.889,N,N,N,N,N,N
204,I12,0,B 3450 4 WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.112,24.016,0.094,15.928,16.954,1.027,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.881,N,N,N,N,N,N
205,I13,0,B 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,35.995,36.851,1.094,0.064,0.042,0.024,31.845,0.978,-3.483,93.709,1,0.155,1,3,29,Amp,,0.855,N,N,Y,N,N,N
206,I14,0,B 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,36.473,36.851,1.094,0.047,0.042,0.024,31.845,0.978,-3.483,93.709,1,0.155,1,3,30,Amp,,0.852,N,N,Y,N,N,N
207,I15,0,B 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,38.084,36.851,1.094,0.016,0.042,0.024,31.845,0.978,-3.483,93.709,1,0.155,1,3,33,Inconclusive,,0.770,Y,N,Y,N,N,N
208,I16,0,B 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,29.595,29.860,0.230,4.427,3.746,0.592,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.954,N,N,N,N,N,N
209,I17,0,B 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.015,29.860,0.230,3.355,3.746,0.592,31.845,0.978,-3.483,93.709,1,0.155,1,3,26,Amp,,0.955,N,N,N,N,N,N
210,I18,0,B 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,29.970,29.860,0.230,3.455,3.746,0.592,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.956,N,N,N,N,N,N
211,I19,0,B 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.001,25.132,0.125,92.366,84.875,7.081,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.959,N,N,N,N,N,N
212,I20,0,B 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.145,25.132,0.125,83.965,84.875,7.081,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.972,N,N,N,N,N,N
213,I21,0,B 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.251,25.132,0.125,78.293,84.875,7.081,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.955,N,N,N,N,N,N
214,I22,0,B 3450 4 WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.148,26.241,0.082,43.248,40.702,2.225,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.965,N,N,N,N,N,N
215,I23,0,B 3450 4 WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.299,26.241,0.082,39.131,40.702,2.225,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.965,N,N,N,N,N,N
216,I24,0,B 3450 4 WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.277,26.241,0.082,39.726,40.702,2.225,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.977,N,N,N,N,N,N
217,J1,0,,ISL1,STANDARD,FAM,NFQ-MGB,30.478,30.609,0.255,0.195,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.960,N,N,N,N,N,N
218,J2,0,,ISL1,STANDARD,FAM,NFQ-MGB,30.447,30.609,0.255,0.195,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.958,N,N,N,N,N,N
219,J3,0,,ISL1,STANDARD,FAM,NFQ-MGB,30.903,30.609,0.255,0.195,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.956,N,N,N,N,N,N
229,J13,0,,HB9,STANDARD,FAM,NFQ-MGB,33.522,33.781,0.367,0.195,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.937,N,N,N,N,N,N
230,J14,0,,HB9,STANDARD,FAM,NFQ-MGB,34.040,33.781,0.367,0.195,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.917,N,N,N,N,N,N
241,K1,0,C 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.733,34.278,0.608,0.033,0.024,0.009,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.886,N,N,Y,N,N,N
242,K2,0,C 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,34.934,34.278,0.608,0.015,0.024,0.009,28.415,0.985,-3.580,90.256,1,0.109,1,3,30,Amp,,0.862,N,N,Y,N,N,N
243,K3,0,C 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,34.165,34.278,0.608,0.025,0.024,0.009,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.881,N,N,Y,N,N,N
244,K4,0,C 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,24.984,25.275,0.258,9.089,7.608,1.306,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.895,N,N,N,N,N,N
245,K5,0,C 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,25.364,25.275,0.258,7.116,7.608,1.306,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.939,N,N,N,N,N,N
246,K6,0,C 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,25.477,25.275,0.258,6.620,7.608,1.306,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.950,N,N,N,N,N,N
247,K7,0,C 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.275,23.284,0.033,27.287,27.123,0.569,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.864,N,N,N,N,N,N
248,K8,0,C 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.321,23.284,0.033,26.490,27.123,0.569,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.847,N,N,N,N,N,N
249,K9,0,C 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.257,23.284,0.033,27.593,27.123,0.569,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.814,N,N,N,N,N,N
250,K10,0,C 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.534,24.689,0.172,12.139,11.032,1.204,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.918,N,N,N,N,N,N
251,K11,0,C 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.658,24.689,0.172,11.209,11.032,1.204,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.895,N,N,N,N,N,N
252,K12,0,C 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.875,24.689,0.172,9.750,11.032,1.204,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.909,N,N,N,N,N,N
253,K13,0,C 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,36.242,35.752,0.693,0.055,0.080,0.035,31.845,0.978,-3.483,93.709,1,0.155,1,3,31,Amp,,0.852,N,N,Y,N,N,N
254,K14,0,C 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.752,0.693,,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,32,No Amp,,0.000,Y,N,N,Y,N,N
255,K15,0,C 3450 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,35.262,35.752,0.693,0.104,0.080,0.035,31.845,0.978,-3.483,93.709,1,0.155,1,3,28,Amp,,0.893,N,N,Y,N,N,N
256,K16,0,C 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.163,27.265,0.124,22.102,20.713,1.669,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.949,N,N,N,N,N,N
257,K17,0,C 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.403,27.265,0.124,18.862,20.713,1.669,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.962,N,N,N,N,N,Y
258,K18,0,C 3450 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.228,27.265,0.124,21.176,20.713,1.669,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.971,N,N,N,N,N,N
259,K19,0,C 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.416,26.571,0.514,36.229,33.922,10.569,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.959,N,N,Y,N,N,N
260,K20,0,C 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.144,26.571,0.514,22.389,33.922,10.569,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.970,N,N,Y,N,N,N
261,K21,0,C 3450 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.152,26.571,0.514,43.146,33.922,10.569,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.957,N,N,Y,N,N,N
262,K22,0,C 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.844,26.936,0.082,27.293,25.715,1.403,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.979,N,N,N,N,N,N
263,K23,0,C 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.963,26.936,0.082,25.241,25.715,1.403,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.982,N,N,N,N,N,N
264,K24,0,C 3450 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.001,26.936,0.082,24.610,25.715,1.403,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.984,N,N,N,N,N,N
265,L1,0,,ISL1,STANDARD,FAM,NFQ-MGB,32.421,32.410,0.126,0.049,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.956,N,N,N,N,N,N
266,L2,0,,ISL1,STANDARD,FAM,NFQ-MGB,32.279,32.410,0.126,0.049,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.949,N,N,N,N,N,N
267,L3,0,,ISL1,STANDARD,FAM,NFQ-MGB,32.530,32.410,0.126,0.049,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.944,N,N,N,N,N,N
277,L13,0,,HB9,STANDARD,FAM,NFQ-MGB,36.104,35.963,0.201,0.049,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,31,Amp,,0.897,N,N,N,N,N,N
279,L15,0,,HB9,STANDARD,FAM,NFQ-MGB,35.821,35.963,0.201,0.049,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,31,Amp,,0.878,N,N,N,N,N,N
289,M1,0,A G93A iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,32.570,32.712,0.319,0.069,0.064,0.012,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.903,N,N,N,N,N,N
290,M2,0,A G93A iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,32.489,32.712,0.319,0.073,0.064,0.012,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.909,N,N,N,N,N,N
291,M3,0,A G93A iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.078,32.712,0.319,0.050,0.064,0.012,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.924,N,N,N,N,N,N
292,M4,0,A G93A MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,25.678,25.843,0.159,5.815,5.247,0.539,28.415,0.985,-3.580,90.256,1,0.109,1,3,22,Amp,,0.956,N,N,N,N,N,N
293,M5,0,A G93A MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,25.995,25.843,0.159,4.742,5.247,0.539,28.415,0.985,-3.580,90.256,1,0.109,1,3,22,Amp,,0.956,N,N,N,N,N,N
294,M6,0,A G93A MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,25.857,25.843,0.159,5.184,5.247,0.539,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.954,N,N,N,N,N,N
295,M7,0,A G93A 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.640,21.682,0.047,78.085,76.038,2.280,28.415,0.985,-3.580,90.256,1,0.109,1,3,17,Amp,,0.836,N,N,N,N,N,N
296,M8,0,A G93A 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.673,21.682,0.047,76.448,76.038,2.280,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.805,N,N,N,N,N,N
297,M9,0,A G93A 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.732,21.682,0.047,73.581,76.038,2.280,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.814,N,N,N,N,N,N
298,M10,0,A G93A 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.971,25.001,0.069,9.165,8.995,0.397,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.920,N,N,N,N,N,N
299,M11,0,A G93A 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,24.952,25.001,0.069,9.280,8.995,0.397,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.902,N,N,N,N,N,N
300,M12,0,A G93A 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.080,25.001,0.069,8.542,8.995,0.397,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.914,N,N,N,N,N,N
301,M13,0,A G93A iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,35.475,36.174,0.635,0.091,0.061,0.027,31.845,0.978,-3.483,93.709,1,0.155,1,3,30,Amp,,0.898,N,N,Y,N,N,N
302,M14,0,A G93A iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,36.335,36.174,0.635,0.051,0.061,0.027,31.845,0.978,-3.483,93.709,1,0.155,1,3,32,Amp,,0.895,N,N,Y,N,N,N
303,M15,0,A G93A iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,36.713,36.174,0.635,0.040,0.061,0.027,31.845,0.978,-3.483,93.709,1,0.155,1,3,32,Amp,,0.850,N,N,Y,N,N,N
304,M16,0,A G93A MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.617,27.710,0.101,16.377,15.422,1.020,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.975,N,N,N,N,N,N
305,M17,0,A G93A MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.696,27.710,0.101,15.541,15.422,1.020,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.963,N,N,N,N,N,N
306,M18,0,A G93A MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,27.817,27.710,0.101,14.348,15.422,1.020,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.969,N,N,N,N,N,N
307,M19,0,A G93A 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.728,25.865,0.147,57.108,52.320,5.031,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.978,N,N,N,N,N,N
308,M20,0,A G93A 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,26.020,25.865,0.147,47.077,52.320,5.031,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.955,N,N,N,N,N,N
309,M21,0,A G93A 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,25.847,25.865,0.147,52.777,52.320,5.031,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.959,N,N,N,N,N,N
310,M22,0,A G93A 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.053,28.095,0.049,12.271,11.946,0.388,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.958,N,N,N,N,N,N
311,M23,0,A G93A 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.149,28.095,0.049,11.516,11.946,0.388,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.947,N,N,N,N,N,N
312,M24,0,A G93A 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.081,28.095,0.049,12.050,11.946,0.388,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.965,N,N,N,N,N,N
314,N2,0,,ISL1,STANDARD,FAM,NFQ-MGB,35.456,35.768,0.441,0.012,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,32,Amp,,0.880,N,N,N,N,N,N
315,N3,0,,ISL1,STANDARD,FAM,NFQ-MGB,36.080,35.768,0.441,0.012,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,32,Amp,,0.845,N,N,N,N,N,N
