114,E18,FALSE,KYOU-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.044,0.037,0.052,32.789,32.754,0.040,,12.658,0.182,0.105,4.501,TRUE,0.306,TRUE,3,27,Amp,,0.915,N,N,N,N,N,N
115,E19,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.074,19.011,0.242,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.911,N,N,N,N,N,N
116,E20,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.743,19.011,0.242,,,,,,TRUE,0.156,TRUE,3,13,Amp,,0.887,N,N,N,N,Y,Y
117,E21,FALSE,KYOU-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.215,19.011,0.242,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.913,N,N,N,N,N,N
118,E22,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.227,21.182,0.064,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.854,N,N,N,N,N,N
119,E23,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.108,21.182,0.064,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.852,N,N,N,N,N,N
120,E24,FALSE,KYOU-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.210,21.182,0.064,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.841,N,N,N,N,Y,N
121,F1,FALSE,KYOU-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.017,0.011,0.026,34.652,34.653,0.431,,14.557,0.466,0.269,5.892,TRUE,0.391,TRUE,3,30,Amp,,0.892,N,N,N,N,N,N
122,F2,FALSE,KYOU-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.017,0.011,0.026,34.222,34.653,0.431,,14.557,0.466,0.269,5.892,TRUE,0.391,TRUE,3,29,Amp,,0.919,N,N,N,N,N,N
123,F3,FALSE,KYOU-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.017,0.011,0.026,35.084,34.653,0.431,,14.557,0.466,0.269,5.892,TRUE,0.391,TRUE,3,29,Amp,,0.899,N,N,N,N,N,N
124,F4,FALSE,KYOU-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.290,0.240,0.350,24.341,24.365,0.092,,4.269,0.200,0.115,1.788,TRUE,0.408,TRUE,3,18,Amp,,0.968,N,N,N,N,N,N
125,F5,FALSE,KYOU-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.290,0.240,0.350,24.288,24.365,0.092,,4.269,0.200,0.115,1.788,TRUE,0.408,TRUE,3,18,Amp,,0.966,N,N,N,N,N,N
126,F6,FALSE,KYOU-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.290,0.240,0.350,24.467,24.365,0.092,,4.269,0.200,0.115,1.788,TRUE,0.408,TRUE,3,19,Amp,,0.968,N,N,N,N,N,N
127,F7,FALSE,KYOU-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.090,0.076,0.108,23.432,23.445,0.062,,3.348,0.188,0.108,3.470,TRUE,0.429,TRUE,3,18,Amp,,0.941,N,N,N,N,N,N
128,F8,FALSE,KYOU-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.090,0.076,0.108,23.390,23.445,0.062,,3.348,0.188,0.108,3.470,TRUE,0.429,TRUE,3,17,Amp,,0.939,N,N,N,N,N,N
129,F9,FALSE,KYOU-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.090,0.076,0.108,23.512,23.445,0.062,,3.348,0.188,0.108,3.470,TRUE,0.429,TRUE,3,17,Amp,,0.945,N,N,N,N,N,N
130,F10,FALSE,KYOU-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.086,0.068,0.109,29.887,29.974,0.168,,9.877,0.244,0.141,3.535,TRUE,0.399,TRUE,3,23,Amp,,0.953,N,N,N,N,N,N
131,F11,FALSE,KYOU-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.086,0.068,0.109,29.866,29.974,0.168,,9.877,0.244,0.141,3.535,TRUE,0.399,TRUE,3,23,Amp,,0.953,N,N,N,N,N,N
132,F12,FALSE,KYOU-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.086,0.068,0.109,30.167,29.974,0.168,,9.877,0.244,0.141,3.535,TRUE,0.399,TRUE,3,24,Amp,,0.950,N,N,N,N,N,N
145,G1,FALSE,KYOU-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.600,0.490,0.736,27.218,27.272,0.051,,7.234,0.216,0.124,0.736,TRUE,0.335,TRUE,3,21,Amp,,0.944,N,N,N,N,N,N
146,G2,FALSE,KYOU-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.600,0.490,0.736,27.278,27.272,0.051,,7.234,0.216,0.124,0.736,TRUE,0.335,TRUE,3,22,Amp,,0.943,N,N,N,N,N,N
147,G3,FALSE,KYOU-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.600,0.490,0.736,27.319,27.272,0.051,,7.234,0.216,0.124,0.736,TRUE,0.335,TRUE,3,21,Amp,,0.942,N,N,N,N,N,N
148,G4,FALSE,KYOU-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.891,1.332,29.768,29.730,0.037,,9.692,0.213,0.123,-0.123,TRUE,0.398,TRUE,3,24,Amp,,0.935,N,N,N,N,N,N
149,G5,FALSE,KYOU-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.891,1.332,29.727,29.730,0.037,,9.692,0.213,0.123,-0.123,TRUE,0.398,TRUE,3,25,Amp,,0.956,N,N,N,N,N,N
150,G6,FALSE,KYOU-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,1.089,0.891,1.332,29.695,29.730,0.037,,9.692,0.213,0.123,-0.123,TRUE,0.398,TRUE,3,24,Amp,,0.946,N,N,N,N,N,N
151,G7,FALSE,KYOU-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.362,0.555,21.992,22.069,0.082,,2.031,0.225,0.130,1.158,TRUE,0.379,TRUE,3,14,Amp,,0.957,N,N,N,N,N,N
152,G8,FALSE,KYOU-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.362,0.555,22.156,22.069,0.082,,2.031,0.225,0.130,1.158,TRUE,0.379,TRUE,3,16,Amp,,0.954,N,N,N,N,N,N
153,G9,FALSE,KYOU-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.362,0.555,22.060,22.069,0.082,,2.031,0.225,0.130,1.158,TRUE,0.379,TRUE,3,16,Amp,,0.947,N,N,N,N,N,N
154,G10,FALSE,KYOU-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.946,0.771,1.160,25.568,25.615,0.051,,5.577,0.216,0.124,0.080,TRUE,0.178,TRUE,3,20,Amp,,0.952,N,N,N,N,N,N
155,G11,FALSE,KYOU-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.946,0.771,1.160,25.608,25.615,0.051,,5.577,0.216,0.124,0.080,TRUE,0.178,TRUE,3,21,Amp,,0.948,N,N,N,N,N,N
156,G12,FALSE,KYOU-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.946,0.771,1.160,25.668,25.615,0.051,,5.577,0.216,0.124,0.080,TRUE,0.178,TRUE,3,21,Amp,,0.944,N,N,N,N,N,N
157,G13,FALSE,KYOU-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.110,0.089,0.136,30.783,30.846,0.065,,10.808,0.220,0.127,3.183,TRUE,0.436,TRUE,3,23,Amp,,0.959,N,N,N,N,N,N
158,G14,FALSE,KYOU-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.110,0.089,0.136,30.913,30.846,0.065,,10.808,0.220,0.127,3.183,TRUE,0.436,TRUE,3,24,Amp,,0.957,N,N,N,N,N,N
159,G15,FALSE,KYOU-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.110,0.089,0.136,30.841,30.846,0.065,,10.808,0.220,0.127,3.183,TRUE,0.436,TRUE,3,24,Amp,,0.958,N,N,N,N,N,N
160,G16,FALSE,KYOU-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.513,1.212,1.890,27.476,27.597,0.106,,7.559,0.235,0.136,-0.598,TRUE,0.306,TRUE,3,21,Amp,,0.942,N,N,N,N,N,N
161,G17,FALSE,KYOU-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.513,1.212,1.890,27.676,27.597,0.106,,7.559,0.235,0.136,-0.598,TRUE,0.306,TRUE,3,21,Amp,,0.949,N,N,N,N,N,N
162,G18,FALSE,KYOU-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,1.513,1.212,1.890,27.640,27.597,0.106,,7.559,0.235,0.136,-0.598,TRUE,0.306,TRUE,3,21,Amp,,0.958,N,N,N,N,N,N
163,G19,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.766,18.757,0.241,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.883,N,N,N,N,N,N
164,G20,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.994,18.757,0.241,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.880,N,N,N,N,N,N
165,G21,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.513,18.757,0.241,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.895,N,N,N,N,Y,Y
166,G22,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.388,21.318,0.173,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.881,N,N,N,N,N,N
167,G23,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.121,21.318,0.173,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.854,N,N,N,N,N,N
168,G24,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.445,21.318,0.173,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.867,N,N,N,N,N,N
169,H1,FALSE,KYOU-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.452,1.175,1.794,28.090,28.165,0.077,,8.127,0.223,0.129,-0.538,TRUE,0.391,TRUE,3,23,Amp,,0.940,N,N,N,N,N,N
170,H2,FALSE,KYOU-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.452,1.175,1.794,28.245,28.165,0.077,,8.127,0.223,0.129,-0.538,TRUE,0.391,TRUE,3,22,Amp,,0.951,N,N,N,N,N,N
171,H3,FALSE,KYOU-D7,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1.452,1.175,1.794,28.159,28.165,0.077,,8.127,0.223,0.129,-0.538,TRUE,0.391,TRUE,3,23,Amp,,0.960,N,N,N,N,N,N
172,H4,FALSE,KYOU-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.473,1.141,1.900,21.827,21.960,0.169,,1.923,0.269,0.156,-0.559,TRUE,0.408,TRUE,3,14,Amp,,0.954,N,N,N,N,N,N
173,H5,FALSE,KYOU-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.473,1.141,1.900,22.151,21.960,0.169,,1.923,0.269,0.156,-0.559,TRUE,0.408,TRUE,3,16,Amp,,0.972,N,N,N,N,N,N
174,H6,FALSE,KYOU-D7,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1.473,1.141,1.900,21.904,21.960,0.169,,1.923,0.269,0.156,-0.559,TRUE,0.408,TRUE,3,16,Amp,,0.971,N,N,N,N,N,N
175,H7,FALSE,KYOU-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.750,1.164,19.904,20.014,0.099,,-0.024,0.232,0.134,0.098,TRUE,0.429,TRUE,3,14,Amp,,0.943,N,N,N,N,N,N
176,H8,FALSE,KYOU-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.750,1.164,20.043,20.014,0.099,,-0.024,0.232,0.134,0.098,TRUE,0.429,TRUE,3,14,Amp,,0.944,N,N,N,N,N,N
177,H9,FALSE,KYOU-D7,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.935,0.750,1.164,20.095,20.014,0.099,,-0.024,0.232,0.134,0.098,TRUE,0.429,TRUE,3,15,Amp,,0.932,N,N,N,N,N,N
178,H10,FALSE,KYOU-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.995,0.801,1.235,26.319,26.388,0.091,,6.351,0.229,0.132,0.008,TRUE,0.399,TRUE,3,21,Amp,,0.952,N,N,N,N,N,N
179,H11,FALSE,KYOU-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.995,0.801,1.235,26.354,26.388,0.091,,6.351,0.229,0.132,0.008,TRUE,0.399,TRUE,3,20,Amp,,0.959,N,N,N,N,N,N
180,H12,FALSE,KYOU-D7,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.995,0.801,1.235,26.491,26.388,0.091,,6.351,0.229,0.132,0.008,TRUE,0.399,TRUE,3,20,Amp,,0.965,N,N,N,N,N,N
193,I1,FALSE,FX8-1-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.189,0.150,0.237,28.532,28.572,0.065,,8.903,0.242,0.140,2.405,TRUE,0.335,TRUE,3,23,Amp,,0.939,N,N,N,N,N,N
194,I2,FALSE,FX8-1-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.189,0.150,0.237,28.538,28.572,0.065,,8.903,0.242,0.140,2.405,TRUE,0.335,TRUE,3,23,Amp,,0.951,N,N,N,N,N,N
195,I3,FALSE,FX8-1-D0,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.189,0.150,0.237,28.647,28.572,0.065,,8.903,0.242,0.140,2.405,TRUE,0.335,TRUE,3,23,Amp,,0.923,N,N,N,N,N,N
196,I4,FALSE,FX8-1-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.675,0.533,0.854,30.067,30.052,0.087,,10.383,0.249,0.144,0.568,TRUE,0.398,TRUE,3,23,Amp,,0.945,N,N,N,N,N,N
197,I5,FALSE,FX8-1-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.675,0.533,0.854,29.959,30.052,0.087,,10.383,0.249,0.144,0.568,TRUE,0.398,TRUE,3,24,Amp,,0.944,N,N,N,N,N,N
198,I6,FALSE,FX8-1-D0,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.675,0.533,0.854,30.132,30.052,0.087,,10.383,0.249,0.144,0.568,TRUE,0.398,TRUE,3,24,Amp,,0.951,N,N,N,N,N,N
199,I7,FALSE,FX8-1-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.120,0.889,1.411,20.299,20.380,0.071,,0.711,0.244,0.141,-0.163,TRUE,0.379,TRUE,3,15,Amp,,0.952,N,N,N,N,N,N
200,I8,FALSE,FX8-1-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.120,0.889,1.411,20.412,20.380,0.071,,0.711,0.244,0.141,-0.163,TRUE,0.379,TRUE,3,14,Amp,,0.952,N,N,N,N,N,N
201,I9,FALSE,FX8-1-D0,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,1.120,0.889,1.411,20.429,20.380,0.071,,0.711,0.244,0.141,-0.163,TRUE,0.379,TRUE,3,14,Amp,,0.945,N,N,N,N,N,N
202,I10,FALSE,FX8-1-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,4.194,3.346,5.256,23.046,23.098,0.049,,3.429,0.239,0.138,-2.068,TRUE,0.178,TRUE,3,17,Amp,,0.951,N,N,N,N,N,N
203,I11,FALSE,FX8-1-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,4.194,3.346,5.256,23.144,23.098,0.049,,3.429,0.239,0.138,-2.068,TRUE,0.178,TRUE,3,19,Amp,,0.950,N,N,N,N,N,N
204,I12,FALSE,FX8-1-D0,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,4.194,3.346,5.256,23.105,23.098,0.049,,3.429,0.239,0.138,-2.068,TRUE,0.178,TRUE,3,18,Amp,,0.959,N,N,N,N,N,N
205,I13,FALSE,FX8-1-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.612,0.489,0.765,27.971,28.003,0.037,,8.334,0.236,0.136,0.709,TRUE,0.436,TRUE,3,22,Amp,,0.963,N,N,N,N,N,N
206,I14,FALSE,FX8-1-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.612,0.489,0.765,27.995,28.003,0.037,,8.334,0.236,0.136,0.709,TRUE,0.436,TRUE,3,22,Amp,,0.961,N,N,N,N,N,N
207,I15,FALSE,FX8-1-D0,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.612,0.489,0.765,28.043,28.003,0.037,,8.334,0.236,0.136,0.709,TRUE,0.436,TRUE,3,22,Amp,,0.963,N,N,N,N,N,N
208,I16,FALSE,FX8-1-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.029,0.020,0.041,33.075,32.955,0.309,,13.286,0.387,0.224,5.129,TRUE,0.306,TRUE,3,27,Amp,,0.895,N,N,N,N,N,N
209,I17,FALSE,FX8-1-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.029,0.020,0.041,32.604,32.955,0.309,,13.286,0.387,0.224,5.129,TRUE,0.306,TRUE,3,26,Amp,,0.924,N,N,N,N,N,N
210,I18,FALSE,FX8-1-D0,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,0.029,0.020,0.041,33.186,32.955,0.309,,13.286,0.387,0.224,5.129,TRUE,0.306,TRUE,3,27,Amp,,0.916,N,N,N,N,N,N
211,I19,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.256,18.392,0.278,,,,,,TRUE,0.156,TRUE,3,13,Amp,,0.878,N,N,N,N,N,N
212,I20,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.207,18.392,0.278,,,,,,TRUE,0.156,TRUE,3,13,Amp,,0.919,N,N,N,N,Y,Y
213,I21,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.711,18.392,0.278,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.859,N,N,N,N,N,N
214,I22,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.993,20.947,0.178,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.863,N,N,N,N,N,N
215,I23,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.751,20.947,0.178,,,,,,TRUE,0.115,TRUE,3,15,Amp,,0.826,N,N,N,N,N,N
216,I24,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.097,20.947,0.178,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.832,N,N,N,N,Y,N
217,J1,FALSE,FX8-1-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.030,0.024,0.038,33.371,33.379,0.024,,13.710,0.235,0.135,5.045,TRUE,0.391,TRUE,3,27,Amp,,0.914,N,N,N,N,N,N
218,J2,FALSE,FX8-1-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.030,0.024,0.038,33.406,33.379,0.024,,13.710,0.235,0.135,5.045,TRUE,0.391,TRUE,3,28,Amp,,0.948,N,N,N,N,N,N
219,J3,FALSE,FX8-1-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,0.030,0.024,0.038,33.360,33.379,0.024,,13.710,0.235,0.135,5.045,TRUE,0.391,TRUE,3,27,Amp,,0.934,N,N,N,N,N,N
220,J4,FALSE,FX8-1-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.415,0.329,0.524,23.330,23.418,0.077,,3.749,0.246,0.142,1.268,TRUE,0.408,TRUE,3,17,Amp,,0.971,N,N,N,N,N,N
221,J5,FALSE,FX8-1-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.415,0.329,0.524,23.453,23.418,0.077,,3.749,0.246,0.142,1.268,TRUE,0.408,TRUE,3,17,Amp,,0.954,N,N,N,N,N,N
222,J6,FALSE,FX8-1-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,0.415,0.329,0.524,23.471,23.418,0.077,,3.749,0.246,0.142,1.268,TRUE,0.408,TRUE,3,18,Amp,,0.970,N,N,N,N,N,N
223,J7,FALSE,FX8-1-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.126,0.101,0.157,22.500,22.537,0.033,,2.867,0.236,0.136,2.989,TRUE,0.429,TRUE,3,17,Amp,,0.942,N,N,N,N,N,N
224,J8,FALSE,FX8-1-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.126,0.101,0.157,22.545,22.537,0.033,,2.867,0.236,0.136,2.989,TRUE,0.429,TRUE,3,17,Amp,,0.942,N,N,N,N,N,N
225,J9,FALSE,FX8-1-D0,TUBB3,UNKNOWN,FAM,NFQ-MGB,,,,0.126,0.101,0.157,22.565,22.537,0.033,,2.867,0.236,0.136,2.989,TRUE,0.429,TRUE,3,17,Amp,,0.941,N,N,N,N,N,N
226,J10,FALSE,FX8-1-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.026,0.021,0.033,31.217,31.254,0.043,,11.584,0.237,0.137,5.242,TRUE,0.399,TRUE,3,25,Amp,,0.948,N,N,N,N,N,N
227,J11,FALSE,FX8-1-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.026,0.021,0.033,31.301,31.254,0.043,,11.584,0.237,0.137,5.242,TRUE,0.399,TRUE,3,26,Amp,,0.948,N,N,N,N,N,N
228,J12,FALSE,FX8-1-D0,CAMK2A,UNKNOWN,FAM,NFQ-MGB,,,,0.026,0.021,0.033,31.243,31.254,0.043,,11.584,0.237,0.137,5.242,TRUE,0.399,TRUE,3,25,Amp,,0.949,N,N,N,N,N,N
241,K1,FALSE,FX8-1-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.190,0.331,28.475,28.672,0.223,,8.492,0.292,0.168,1.994,TRUE,0.335,TRUE,3,22,Amp,,0.941,N,N,N,N,N,N
242,K2,FALSE,FX8-1-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.190,0.331,28.914,28.672,0.223,,8.492,0.292,0.168,1.994,TRUE,0.335,TRUE,3,23,Amp,,0.910,N,N,N,N,N,N
243,K3,FALSE,FX8-1-D7,NEUROG1,UNKNOWN,FAM,NFQ-MGB,,,,0.251,0.190,0.331,28.626,28.672,0.223,,8.492,0.292,0.168,1.994,TRUE,0.335,TRUE,3,23,Amp,,0.939,N,N,N,N,N,N
244,K4,FALSE,FX8-1-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.491,0.740,30.692,30.724,0.108,,10.545,0.217,0.125,0.729,TRUE,0.398,TRUE,3,26,Amp,,0.934,N,N,N,N,N,N
245,K5,FALSE,FX8-1-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.491,0.740,30.637,30.724,0.108,,10.545,0.217,0.125,0.729,TRUE,0.398,TRUE,3,25,Amp,,0.932,N,N,N,N,N,N
246,K6,FALSE,FX8-1-D7,NEUROG2,UNKNOWN,FAM,NFQ-MGB,,,,0.603,0.491,0.740,30.844,30.724,0.108,,10.545,0.217,0.125,0.729,TRUE,0.398,TRUE,3,25,Amp,,0.952,N,N,N,N,N,N
247,K7,FALSE,FX8-1-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.317,0.264,0.381,22.658,22.712,0.047,,2.532,0.194,0.112,1.659,TRUE,0.379,TRUE,3,17,Amp,,0.954,N,N,N,N,N,N
248,K8,FALSE,FX8-1-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.317,0.264,0.381,22.743,22.712,0.047,,2.532,0.194,0.112,1.659,TRUE,0.379,TRUE,3,17,Amp,,0.956,N,N,N,N,N,N
249,K9,FALSE,FX8-1-D7,NESTIN,UNKNOWN,FAM,NFQ-MGB,,,,0.317,0.264,0.381,22.735,22.712,0.047,,2.532,0.194,0.112,1.659,TRUE,0.379,TRUE,3,18,Amp,,0.948,N,N,N,N,N,N
250,K10,FALSE,FX8-1-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.950,0.781,1.155,25.695,25.750,0.085,,5.571,0.207,0.119,0.074,TRUE,0.178,TRUE,3,19,Amp,,0.946,N,N,N,N,N,N
251,K11,FALSE,FX8-1-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.950,0.781,1.155,25.708,25.750,0.085,,5.571,0.207,0.119,0.074,TRUE,0.178,TRUE,3,21,Amp,,0.935,N,N,N,N,N,N
252,K12,FALSE,FX8-1-D7,PAX6,UNKNOWN,FAM,NFQ-MGB,,,,0.950,0.781,1.155,25.849,25.750,0.085,,5.571,0.207,0.119,0.074,TRUE,0.178,TRUE,3,21,Amp,,0.941,N,N,N,N,N,N
253,K13,FALSE,FX8-1-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.155,0.129,0.187,30.443,30.489,0.056,,10.310,0.196,0.113,2.685,TRUE,0.436,TRUE,3,23,Amp,,0.957,N,N,N,N,N,N
254,K14,FALSE,FX8-1-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.155,0.129,0.187,30.474,30.489,0.056,,10.310,0.196,0.113,2.685,TRUE,0.436,TRUE,3,24,Amp,,0.962,N,N,N,N,N,N
255,K15,FALSE,FX8-1-D7,SOX1,UNKNOWN,FAM,NFQ-MGB,,,,0.155,0.129,0.187,30.551,30.489,0.056,,10.310,0.196,0.113,2.685,TRUE,0.436,TRUE,3,23,Amp,,0.968,N,N,N,N,N,N
256,K16,FALSE,FX8-1-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,2.497,2.087,2.987,27.020,27.017,0.024,,6.837,0.190,0.109,-1.320,TRUE,0.306,TRUE,3,21,Amp,,0.955,N,N,N,N,N,N
257,K17,FALSE,FX8-1-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,2.497,2.087,2.987,27.039,27.017,0.024,,6.837,0.190,0.109,-1.320,TRUE,0.306,TRUE,3,21,Amp,,0.945,N,N,N,N,N,N
258,K18,FALSE,FX8-1-D7,NEUN,UNKNOWN,FAM,NFQ-MGB,,,,2.497,2.087,2.987,26.992,27.017,0.024,,6.837,0.190,0.109,-1.320,TRUE,0.306,TRUE,3,21,Amp,,0.950,N,N,N,N,N,N
259,K19,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.966,18.930,0.047,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.906,N,N,N,N,N,N
260,K20,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.947,18.930,0.047,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.912,N,N,N,N,N,N
261,K21,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.876,18.930,0.047,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.893,N,N,N,N,Y,Y
