Experiment Run End Time,2019-09-11 11:04:11 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative Cт (ΔΔCт) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SD,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,PRFLOW,HIGHSD,BADROX,PRFDROP
19,A19,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.937,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.917,N,N,N,N,N,N
20,A20,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.081,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.91,N,N,N,N,N,N
21,A21,FALSE,AiW002-2-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.022,19.014,0.073,,,,,,TRUE,0.156,TRUE,3,14,Amp,,0.917,N,N,N,N,N,N
22,A22,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.857,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,16,Amp,,0.882,N,N,N,N,N,N
23,A23,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.982,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.901,N,N,N,N,N,N
24,A24,FALSE,AiW002-2-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,22.219,22.019,0.184,,,,,,TRUE,0.115,TRUE,3,17,Amp,,0.905,N,N,N,N,N,N
25,B1,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1,0.817,1.224,29.22,29.181,0.161,,8.665,0.213,0.123,0,TRUE,0.391,TRUE,3,24,Amp,,0.942,N,N,N,N,Y,N
26,B2,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1,0.817,1.224,29.005,29.181,0.161,,8.665,0.213,0.123,0,TRUE,0.391,TRUE,3,23,Amp,,0.933,N,N,N,N,Y,N
27,B3,FALSE,AiW002-2-D0,GRIN1,UNKNOWN,FAM,NFQ-MGB,,,,1,0.817,1.224,29.32,29.181,0.161,,8.665,0.213,0.123,0,TRUE,0.391,TRUE,3,24,Amp,,0.935,N,N,N,N,N,N
28,B4,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.874,1.144,23.028,22.998,0.026,,2.481,0.142,0.082,0,TRUE,0.408,TRUE,3,17,Amp,,0.972,N,N,N,N,N,N
29,B5,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.874,1.144,22.981,22.998,0.026,,2.481,0.142,0.082,0,TRUE,0.408,TRUE,3,16,Amp,,0.953,N,N,N,N,N,N
30,B6,FALSE,AiW002-2-D0,MAP2,UNKNOWN,FAM,NFQ-MGB,,,,1,0.874,1.144,22.984,22.998,0.026,,2.481,0.142,0.082,0,TRUE,0.408,TRUE,3,17,Amp,,0.973,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,"ACTB, GAPDH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,AiW002-2-D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
